name,brand,picture,min_price,max_price,dong_url,jia_url,dong_score,jia_score,size,type,engine,gearbox
东风本田M-NV,思铭,,14.98,15.98,,https://www.autohome.com.cn/5787/#pvareaid=6834146,,4.79,小型SUV,,163马力,
东风本田X-NV,思铭,,16.98,17.98,,https://www.autohome.com.cn/5267/#pvareaid=6834146,,4.25,小型SUV,,163马力,
力狮,斯巴鲁,,20.48,24.78,,https://www.autohome.com.cn/287/#pvareaid=6834146,,4.10,中型车,三厢,2.5L,无级
斯巴鲁XV,斯巴鲁,,19.18,23.38,,https://www.autohome.com.cn/2417/#pvareaid=6834146,,4.19,紧凑型SUV,SUV,2.0L,无级
森林人,斯巴鲁,,22.38,28.58,,https://www.autohome.com.cn/285/#pvareaid=6834146,,4.38,紧凑型SUV,SUV,2.0L,无级
傲虎,斯巴鲁,,31.28,33.08,,https://www.autohome.com.cn/286/#pvareaid=6834146,,4.13,中型SUV,SUV跨界车,2.5L,无级
明锐,斯柯达,,9.99,16.14,,https://www.autohome.com.cn/519/#pvareaid=6834146,,4.35,紧凑型车,掀背 旅行版,1.2T 1.4T 1.5L,手动 手自一体 干式双离合
昕动,斯柯达,,7.79,10.99,,https://www.autohome.com.cn/3290/#pvareaid=6834146,,4.47,紧凑型车,两厢,1.5L,手动 自动
昕锐,斯柯达,,7.79,9.99,,https://www.autohome.com.cn/2962/#pvareaid=6834146,,4.45,紧凑型车,三厢,1.5L,自动 手动
速派,斯柯达,,15.49,22.99,,https://www.autohome.com.cn/3171/#pvareaid=6834146,,4.44,中型车,掀背,1.4T 2.0T,干式双离合 湿式双离合
柯米克,斯柯达,,8.99,12.59,,https://www.autohome.com.cn/4690/#pvareaid=6834146,,4.25,小型SUV,SUV,1.2T 1.5L,干式双离合 手自一体 手动
柯珞克,斯柯达,,12.99,15.99,,https://www.autohome.com.cn/4453/#pvareaid=6834146,,4.19,紧凑型SUV,SUV,1.4T,干式双离合
柯迪亚克,斯柯达,,17.79,24.79,,https://www.autohome.com.cn/4217/#pvareaid=6834146,,4.52,中型SUV,SUV,2.0T,湿式双离合
柯迪亚克GT,斯柯达,,17.99,24.79,,https://www.autohome.com.cn/4986/#pvareaid=6834146,,4.41,中型SUV,SUV跨界车,2.0T,湿式双离合
Model 3,特斯拉,,26.674,33.99,,https://www.autohome.com.cn/5346/#pvareaid=6834146,,4.41,中型车,,275-486马力,
Model Y,特斯拉,,29.184,37.79,,https://www.autohome.com.cn/5769/#pvareaid=6834146,,,中型SUV,,299-486马力,
Model S,特斯拉,,79.999,105.999,,https://www.autohome.com.cn/2357/#pvareaid=6834146,,,中大型车,,670-1020马力,
Model X,特斯拉,,77.29,99.999,,https://www.autohome.com.cn/2664/#pvareaid=6834146,,,中大型SUV,,537-1020马力,
腾势X,腾势,,28.98,35.78,,https://www.autohome.com.cn/5323/#pvareaid=6834146,,4.56,中型SUV,,245-490马力,
WEY VV5,WEY,,12.58,14.78,,https://www.autohome.com.cn/4253/#pvareaid=6834146,,4.51,紧凑型SUV,SUV,1.5T 2.0T,湿式双离合
WEY VV6,WEY,,14.80,17.50,,https://www.autohome.com.cn/4631/#pvareaid=6834146,,4.50,紧凑型SUV,SUV,2.0T,湿式双离合
WEY VV7,WEY,,16.98,19.28,,https://www.autohome.com.cn/4252/#pvareaid=6834146,,4.58,中型SUV,SUV,2.0T,湿式双离合
WEY VV7 GT,WEY,,19.18,25.88,,https://www.autohome.com.cn/5415/#pvareaid=6834146,,4.50,中型SUV,SUV跨界车,2.0T,湿式双离合
WEY VV7 GT新能源,WEY,,25.68,25.68,,https://www.autohome.com.cn/5416/#pvareaid=6834146,,4.61,中型SUV,,2.0T,
WEY VV7新能源,WEY,,21.98,23.98,,https://www.autohome.com.cn/5310/#pvareaid=6834146,,4.49,中型SUV,,2.0T,
摩卡,WEY,,17.58,21.88,,https://www.autohome.com.cn/6010/#pvareaid=6834146,,4.52,中型SUV,SUV,2.0T,湿式双离合
威麟H6,威麟,,22.68,24.68,,https://www.autohome.com.cn/4796/#pvareaid=6834146,,,轻客,客车,2.7L 2.8T,手动
威马EX5,威马汽车,,14.68,19.88,,https://www.autohome.com.cn/4652/#pvareaid=6834146,,4.40,紧凑型SUV,,218马力,
威马EX6,威马汽车,,23.99,27.99,,https://www.autohome.com.cn/4819/#pvareaid=6834146,,4.55,中型SUV,,218马力,
威马W6,威马汽车,,16.98,25.98,,https://www.autohome.com.cn/5237/#pvareaid=6834146,,4.63,中型SUV,,218马力,
蔚来ET7,蔚来,,44.80,52.60,,https://www.autohome.com.cn/5264/#pvareaid=6834146,,,中大型车,,653马力,
蔚来EC6,蔚来,,36.80,52.60,,https://www.autohome.com.cn/5569/#pvareaid=6834146,,4.58,中型SUV,,435-544马力,
蔚来ES6,蔚来,,35.80,52.60,,https://www.autohome.com.cn/4881/#pvareaid=6834146,,4.55,中型SUV,,435-544马力,
蔚来ES8,蔚来,,46.80,62.40,,https://www.autohome.com.cn/4427/#pvareaid=6834146,,4.56,中大型SUV,,544马力,
沃尔沃S60,沃尔沃,,28.69,38.49,,https://www.autohome.com.cn/3158/#pvareaid=6834146,,4.53,中型车,三厢,2.0T,手自一体
沃尔沃S60新能源,沃尔沃,,39.99,46.19,,https://www.autohome.com.cn/4335/#pvareaid=6834146,,4.58,中型车,,2.0T,
沃尔沃S90,沃尔沃,,40.69,50.59,,https://www.autohome.com.cn/4206/#pvareaid=6834146,,4.53,中大型车,三厢,2.0T,手自一体
沃尔沃S90新能源,沃尔沃,,49.99,61.39,,https://www.autohome.com.cn/4864/#pvareaid=6834146,,4.60,中大型车,,2.0T,
沃尔沃XC40,沃尔沃,,26.48,38.58,,https://www.autohome.com.cn/5198/#pvareaid=6834146,,4.56,紧凑型SUV,SUV,1.5T 2.0T,手自一体
沃尔沃XC40新能源,沃尔沃,,29.90,29.90,,https://www.autohome.com.cn/5904/#pvareaid=6834146,,4.72,紧凑型SUV,,408马力,
沃尔沃XC60,沃尔沃,,36.29,47.49,,https://www.autohome.com.cn/3411/#pvareaid=6834146,,4.56,中型SUV,SUV,2.0T,手自一体 自动
沃尔沃XC60新能源,沃尔沃,,52.79,60.59,,https://www.autohome.com.cn/4609/#pvareaid=6834146,,4.56,中型SUV,,2.0T,
沃尔沃V60,沃尔沃,,30.43,39.58,,https://www.autohome.com.cn/2190/#pvareaid=6834146,,4.53,中型车,旅行版,2.0T,自动
沃尔沃V90,沃尔沃,,44.79,55.69,,https://www.autohome.com.cn/4029/#pvareaid=6834146,,4.55,中大型车,旅行跨界车,2.0T,手自一体
沃尔沃XC90,沃尔沃,,63.89,78.19,,https://www.autohome.com.cn/177/#pvareaid=6834146,,4.54,中大型SUV,SUV,2.0T,手自一体
沃尔沃XC90新能源,沃尔沃,,89.49,89.49,,https://www.autohome.com.cn/4337/#pvareaid=6834146,,4.75,中大型SUV,,2.0T,
宏光MINIEV,五菱汽车,,2.88,4.36,,https://www.autohome.com.cn/5714/#pvareaid=6834146,,4.38,微型车,,27马力,
五菱宏光S3,五菱汽车,,5.98,8.28,,https://www.autohome.com.cn/4408/#pvareaid=6834146,,3.97,中型SUV,SUV,1.5L 1.5T,手动
五菱730,五菱汽车,,7.08,7.10,,https://www.autohome.com.cn/5353/#pvareaid=6834146,,,紧凑型MPV,MPV,1.5L,手动
五菱宏光PLUS,五菱汽车,,5.88,7.98,,https://www.autohome.com.cn/5450/#pvareaid=6834146,,4.53,紧凑型MPV,MPV,1.5L 1.5T,手动
五菱凯捷,五菱汽车,,8.58,13.48,,https://www.autohome.com.cn/5772/#pvareaid=6834146,,4.51,紧凑型MPV,MPV,1.5T,手动 无级
五菱宏光,五菱汽车,,4.58,5.98,,https://www.autohome.com.cn/2139/#pvareaid=6834146,,4.35,微面,客车 货车,1.2L 1.5L,手动
五菱宏光V,五菱汽车,,4.29,5.58,,https://www.autohome.com.cn/5174/#pvareaid=6834146,,4.52,微面,客车 货车,1.2L 1.5L,手动
五菱荣光,五菱汽车,,5.09,5.755,,https://www.autohome.com.cn/2451/#pvareaid=6834146,,,微面,客车 货车,1.5L,手动
五菱荣光EV,五菱汽车,,8.38,9.01,,https://www.autohome.com.cn/5715/#pvareaid=6834146,,3.94,微面,,82马力,
五菱荣光S,五菱汽车,,4.07,4.755,,https://www.autohome.com.cn/6218/#pvareaid=6834146,,,微面,客车 货车,1.2L,手动
五菱荣光V,五菱汽车,,4.48,4.98,,https://www.autohome.com.cn/3657/#pvareaid=6834146,,2.88,微面,客车 货车,1.5L,手动
五菱之光,五菱汽车,,3.23,3.66,,https://www.autohome.com.cn/2456/#pvareaid=6834146,,3.63,微面,客车 货车,1.2L,手动
五菱荣光小卡,五菱汽车,,3.96,5.045,,https://www.autohome.com.cn/2855/#pvareaid=6834146,,4.50,微卡,货车,1.2L 1.5L,手动
五菱荣光新卡,五菱汽车,,4.98,6.28,,https://www.autohome.com.cn/4884/#pvareaid=6834146,,4.43,微卡,货车,1.5L 1.8L,手动
五菱之光小卡,五菱汽车,,3.49,3.79,,https://www.autohome.com.cn/3946/#pvareaid=6834146,,3.75,微卡,货车,1.2L,手动
五菱征途,五菱汽车,,5.88,6.28,,https://www.autohome.com.cn/5881/#pvareaid=6834146,,4.45,皮卡,皮卡,1.5L,手动
五菱EV50,五菱汽车,,10.80,11.98,,https://www.autohome.com.cn/5708/#pvareaid=6834146,,4.63,微面,,82马力,
五菱电卡,五菱汽车,,11.58,13.88,,https://www.autohome.com.cn/6204/#pvareaid=6834146,,,微卡,,82马力,
五菱荣光小卡翼开启,五菱汽车,,5.58,5.88,,https://www.autohome.com.cn/5774/#pvareaid=6834146,,,微卡,货车,1.5L,手动
五菱荣光新卡翼开启,五菱汽车,,6.78,6.98,,https://www.autohome.com.cn/5775/#pvareaid=6834146,,,微卡,货车,1.8L,手动
mu-X牧游侠,五十铃,,18.18,25.38,,https://www.autohome.com.cn/3576/#pvareaid=6834146,,4.40,中型SUV,SUV,1.9T,手自一体
D-MAX,五十铃,,13.98,21.78,,https://www.autohome.com.cn/3562/#pvareaid=6834146,,4.48,皮卡,皮卡,1.9T,手动 自动
铃拓,五十铃,,11.18,15.08,,https://www.autohome.com.cn/4775/#pvareaid=6834146,,4.54,皮卡,皮卡,2.5T,自动 手动
瑞迈,五十铃,,8.38,13.58,,https://www.autohome.com.cn/3935/#pvareaid=6834146,,4.54,皮卡,皮卡,2.4T 2.5T 2.8T,手动
瑞纳,现代,,4.99,7.39,,https://www.autohome.com.cn/2115/#pvareaid=6834146,,4.15,小型车,三厢,1.4L,自动 手动
悦纳,现代,,7.28,9.68,,https://www.autohome.com.cn/4107/#pvareaid=6834146,,4.43,小型车,三厢,1.4L,无级 手动
悦动,现代,,8.49,11.59,,https://www.autohome.com.cn/586/#pvareaid=6834146,,4.05,紧凑型车,三厢,1.6L,手动 手自一体
菲斯塔,现代,,13.38,15.48,,https://www.autohome.com.cn/4817/#pvareaid=6834146,,3.88,紧凑型车,三厢,1.6T,干式双离合
菲斯塔纯电动,现代,,17.38,19.88,,https://www.autohome.com.cn/5370/#pvareaid=6834146,,4.48,紧凑型车,,184马力,
领动插电混动,现代,,15.78,17.88,,https://www.autohome.com.cn/5076/#pvareaid=6834146,,4.15,紧凑型车,,1.6L,
伊兰特,现代,,9.98,14.18,,https://www.autohome.com.cn/51/#pvareaid=6834146,,4.57,紧凑型车,三厢,1.4T 1.5L,干式双离合 无级
名图,现代,,13.38,16.88,,https://www.autohome.com.cn/3073/#pvareaid=6834146,,,中型车,三厢,1.5T 1.8L,干式双离合 无级
名图新能源,现代,,17.88,20.38,,https://www.autohome.com.cn/5915/#pvareaid=6834146,,,中型车,,184马力,
索纳塔,现代,,16.18,20.58,,https://www.autohome.com.cn/2649/#pvareaid=6834146,,4.41,中型车,三厢,1.5T 2.0T,干式双离合 手自一体
索纳塔插电混动,现代,,22.28,25.68,,https://www.autohome.com.cn/4654/#pvareaid=6834146,,4.52,中型车,,2.0L,
ENCINO 昂希诺,现代,,12.99,15.59,,https://www.autohome.com.cn/4615/#pvareaid=6834146,,4.31,小型SUV,SUV,1.6T,干式双离合
